Date,xu100_closing,bist100_closing,housing_price_index,exc_rate,interest_rate,cpi_rate,reserves_total,govt_balance,unemployment,loan_growth,growth_rate,non_perf_loans,non_perf_growth
Q1-1998,"32,5906",,,"0,22346",,,"28.498,70",0,,,,,
Q2-1998,41,,,"0,25259",,,"34.304,20",0,,,"22,44528",,
Q3-1998,"22,6594",,,"0,27175",,,"35.329,10",0,,,"25,91637",,
Q4-1998,"25,9791",,,"0,29297",,,"29.551,00",0,,,"2,68329",,
Q1-1999,"45,5407",,,"0,34102",,,"30.808,40",0,,,"-8,41645",,
Q2-1999,"49,5021",,,"0,39496",,,"30.597,40",0,,,"25,86729",,
Q3-1999,"60,7112",,,"0,43733",,,"32.762,90",0,,,"22,97885",,
Q4-1999,"152,0878",,,"0,49669",,,"33.911,80",0,,,"9,81233",,
Q1-2000,"159,2",,,"0,56217",,,"33.753,50",0,,,"0,83243",,
Q2-2000,"144,66",,,"0,60898",,,"34.827,10",0,,,"21,19415",,
Q3-2000,"112,01",,,"0,6446",,,"35.899,60",0,,,"19,17169",,
Q4-2000,"94,06",,,"0,67886",,,"34.375,90",0,,,"2,12429",,
Q1-2001,"75,49",,,"0,78172",,,"30.363,10",0,,,"-8,48533",,
Q2-2001,"112,76",,,"1,1811",,,"29.918,50",0,,,"28,3289",,
Q3-2001,"75,46",,,"1,39147",,,"31.249,10",0,,,"22,12885",,
Q4-2001,"138,09",,,"1,52429",,,"30.353,40",0,,,"4,03142",,
Q1-2002,"117,7",,,"1,35605","58,99308",,"29.973,80",0,,,"-5,26051",,
Q2-2002,"93,58",,,"1,4046","49,07462",,"32.159,40",0,,,"20,82576",,
Q3-2002,"87,57",,,"1,64274","45,38538",,"35.434,80",0,,,"21,61091",,
Q4-2002,"102,89",,,"1,61247","43,18923",,"38.074,20",0,,,"3,35732",,
Q1-2003,"95,34",,,"1,64683","44,61154","96,37","33.823,60",0,,,"-8,19283",,
Q2-2003,"109,05",,,"1,51222","44,34231","99,75","36.893,70",0,,,"15,59183",,
Q3-2003,"131,18",,,"1,38885","38,09077","100,49","43.141,10",0,,,"16,70006",,
Q4-2003,"185,33",,,"1,43822","33,24692","103,39","44.963,60",0,,,"0,43304",,
Q1-2004,"201,27",,,"1,32757","29,45462","105,51","43.106,30",0,,,"-9,18412",,
Q2-2004,"177,58",,,"1,44695","26,68385","107,15","45.557,00",0,,,"16,2647",,
Q3-2004,"220,19",,,"1,47138","25,80923","108,61","49.741,20",0,,,"16,10709",,
Q4-2004,"250,38",,,"1,4389","24,77071","113,13","53.756,90",0,,,"0,97317",,
Q1-2005,"252,53",,,"1,32045","23,92667","114,6","52.407,90",0,,,"-12,49318",,
Q2-2005,"272,88",,,"1,3577","20,74385","116,38","57.573,30",0,,,"14,67339",,
Q3-2005,"333,83",,,"1,33455","19,09286","117,2","62.974,30",0,,,"14,15649",,
Q4-2005,"398,58",,,"1,35007","18,53769","121,75","69.994,40",0,,,"0,46075","7.716.231,00",
Q1-2006,"429,23",,,"1,32568","18,21583","123,86","76.719,90","-1.759.666,00","9,414125","7,937549","-13,31138","7.842.232,00","0,02"
Q2-2006,"354,4",,,"1,44947","16,84231","127,56","79.295,00","2.893.795,00","8,737319","17,4972","19,76488","7.742.816,00","-0,01"
Q3-2006,"370,83",,,"1,49453","19,85462","129,89","84.053,80","-4.367.715,00","8,91119","3,681209","12,33391","7.925.566,00","0,02"
Q4-2006,"392,26",,,"1,45041","20,22231","133,71","92.336,30","-2.534.707,00","8,638185","6,441758","0,51051","8.317.904,00","0,05"
Q1-2007,"436,56",,,"1,40426","19,42769","136,64","99.516,50","-3.514.963,00","8,828129","4,033593","-13,02467","8.886.844,00","0,07"
Q2-2007,"460,5",,,"1,33371","19,19077","139,68","107.225,50","-3.529.327,00","9,0559","7,427972","12,10879","9.381.036,00","0,06"
Q3-2007,"545,24",,,"1,2825","18,44769","139,17","108.261,10","-6.363.144,00","9,062712","5,466478","11,60757","9.788.510,00","0,04"
Q4-2007,"557,82",,,"1,18515","17,64154","144,63","110.992,70","-1.083.771,00","9,333429","7,302776","1,57425","10.117.005,00","0,03"
Q1-2008,"385,18",,,"1,19658","17,03538","148,68","114.502,70","-5.540.671,00","9,358996","9,22403","-9,5255","10.453.460,00","0,03"
Q2-2008,"353,25",,,"1,25717","17,65308","154,12","120.213,10","7.509.050,00","9,140523","8,354289","14,41778","10.478.434,00","0,00"
Q3-2008,"360,51",,,"1,20427","18,49692","155,38","119.331,90","-6.495.469,00","9,744452","6,931841","7,63661","11.191.126,00","0,07"
Q4-2008,"266,54",,,"1,53322","21,66692","160,44","116.916,80","-13.344.790,00","11,43943","-1,76303","-3,72551","12.949.882,00","0,16"
Q1-2009,"254,07","307,9432",,"1,64948","19,87231","161,12","110.870,80","-20.321.531,00","12,76563","-1,49491","-18,32892","16.092.977,00","0,24"
Q2-2009,"375,01","415,7851",,"1,56526","14,32385","162,9","112.056,90","-3.109.953,00","13,6168","2,893296","14,12857","18.153.240,00","0,13"
Q3-2009,"489,9","493,9896",,"1,49349","12,18769","163,67","114.193,60","-17.183.076,00","12,94122","1,842474","12,65498","20.453.789,00","0,13"
Q4-2009,"529,62","487,8171",,"1,48118","9,97538","169,6","112.226,00","-12.498.456,00","12,02008","7,527561","1,14753","21.332.842,00","0,04"
Q1-2010,"569,89","596,789","4,57","1,50141","8,95615","176,09","107.659,40","-12.310.028,00","11,77968","7,785349","-12,61894","21.438.248,00","0,00"
Q2-2010,"555,86","583,2815","4,66","1,53155","9,14846","177,92","104.271,20","-3.468.667,00","11,06148","10,47126","15,98005","20.996.876,00","-0,02"
Q3-2010,"653,42","664,2721","4,73","1,5097","8,91385","177,39","111.875,10","-6.112.673,00","10,74567","6,969759","14,31874","20.852.686,00","-0,01"
Q4-2010,"670,26","737,6612","4,82","1,45743","8,61231","182,2","110.010,60","-19.430.863,00","9,972329","13,31708","1,1606","19.576.166,00","-0,06"
Q1-2011,"646,18","757,7288","4,95","1,57038","8,53917","183,74","117.687,10","-5.890.798,00","9,453581","6,139826","-9,74161","19.023.112,00","-0,03"
Q2-2011,"632,08","764,8592","5,09","1,55849","9,63923","188,4","120.006,00","8.369.154,00","9,557695","10,38552","15,68511","18.504.378,00","-0,03"
Q3-2011,"595,55","674,9332","5,14","1,72582","11,47929","188,69","115.094,90","-2.634.937,00","8,705286","8,711583","13,53234","18.068.876,00","-0,02"
Q4-2011,"521,31","608,9333","5,26","1,83121","13,38692","198,95","110.504,40","-18.779.653,00","8,285153","3,71421","1,04762","18.419.156,00","0,02"
Q1-2012,"623,23","719,4127","5,44","1,79037","14,73615","203,02","110.844,20","-6.990.948,00","8,53903","3,225796","-13,61664","19.408.796,00","0,05"
Q2-2012,"615,25","688,0497","5,62","1,79789","14,18923","206,14","113.203,70","-405.645,00","8,191716","6,189526","14,68286","19.767.126,00","0,02"
Q3-2012,"667,25","715,3028","5,77","1,79576","14,79308","205,76","128.192,00","-6.952.956,00","8,099363","2,91892","11,09343","22.604.145,00","0,14"
Q4-2012,"784,77","755,8072","5,84","1,78609","12,23357","212,42","137.493,00","-16.062.800,00","8,491149","5,372066","1,2188","22.731.396,00","0,01"
Q1-2013,"857,35","810,9818","6,03","1,78023","11,58","217,65","141.859,20","-3.123.507,00","8,645802","5,566633","-10,23181","25.031.954,00","0,10"
Q2-2013,"769,11","803,4897","6,24","1,83678","9,78154","220,52","137.386,30","6.768.992,00","8,928699","11,12086","14,45286","25.551.915,00","0,02"
Q3-2013,"743,6","808,6856","6,42","1,96668","10,96538","222,85","146.323,30","-7.269.865,00","9,081213","7,376778","11,22873","27.113.569,00","0,06"
Q4-2013,"678,02","769,3381","6,56","2,02549","11,01923","228,3","147.880,60","-16.308.543,00","9,029952","6,451341","0,07433","28.234.719,00","0,04"
Q1-2014,"694,98","776,6726","6,75","2,21586","14,79154","235,09","141.691,20","-2.575.871,00","9,364473","3,526318","-8,29931","30.293.866,00","0,07"
Q2-2014,"790,4","874,8102","6,98","2,11166","14,23231","241,25","149.368,80","250.489,00","9,761337","3,4376","7,94793","30.915.983,00","0,02"
Q3-2014,"747,14","868,4121","7,24","2,16152","12,19","243,44","146.729,60","-7.975.364,00","10,35328","5,345391","12,48688","33.632.429,00","0,09"
Q4-2014,"848,38","957,5467","7,45","2,26117","12,78769","248,3","141.818,20","-13.005.017,00","10,79218","5,201507","1,45118","35.347.468,00","0,05"
Q1-2015,"812,2","975,5792","7,78","2,45784","12,76769","252,64","138.184,70","-6.866.199,00","10,43837","6,478068","-10,52589","37.388.390,00","0,06"
Q2-2015,"820,87","1.025,06","8,13","2,66634","13,34846","259,92","139.135,50","8.390.275,00","10,38305","5,787732","13,1208","40.043.657,00","0,07"
Q3-2015,"740,02","978,2914","8,36","2,84273","14,59462","261,21","142.228,50","-13.831.974,00","10,37163","5,567649","12,07596","43.065.818,00","0,08"
Q4-2015,"717,27","1.051,71","8,61","2,90638","15,67462","268,57","128.041,80","-12.877.482,00","10,57","1,009044","2,41439","47.169.955,00","0,10"
Q1-2016,"832,68","1.106,81","8,89","2,9438",16,"274,36","135.317,30","-4.623.473,00","10,14112","1,153764","-12,6008","50.855.890,00","0,08"
Q2-2016,"768,17","1.060,62","9,17","2,89315","15,62462","277,92","140.844,50","3.458.091,00","10,42244","3,630753","11,90844","53.345.711,00","0,05"
Q3-2016,"764,88","1.065,11","9,41","2,96036","14,78071","282,2","138.294,20","-8.104.348,00","11,51388","3,33583","5,49252","54.916.433,00","0,03"
Q4-2016,"781,39","1.125,29","9,62","3,27796","14,34538","288,89","129.524,80","-23.584.180,00","12,10673","7,239618","12,24132","57.424.794,00","0,05"
Q1-2017,"889,47","1.231,52","9,95","3,69125","14,67462","302,38","128.684,70","-18.326.593,00","11,88811","5,681172","-13,03633","60.430.413,00","0,05"
Q2-2017,"1.004,40","1.331,83","10,25","3,57865","15,70231","309,87","133.596,60","-1.680.221,00","11,19974","4,888737","13,11305","60.965.384,00","0,01"
Q3-2017,"1.029,08","1.369,99","10,35","3,51491","16,42385","311,99","135.045,70","-7.322.962,00","10,72346","3,861091","13,45987","62.135.251,00","0,02"
Q4-2017,"1.153,33","1.523,61","10,55","3,79555","16,55385","324,33","136.159,20","-21.970.188,00","10,41592","5,315501","7,04289","63.330.372,00","0,02"
Q1-2018,"1.149,30","1.630,35","10,76","3,81142","17,36","333,47","134.566,40","-23.608.381,00","10,01572","4,295894","-11,35951","65.117.607,00","0,03"
Q2-2018,"965,2","1.404,08","11,11","4,36704","19,44","349,52","124.252,60","-17.709.286,00","10,5899","7,039165","12,76983","72.047.942,00","0,11"
Q3-2018,"999,57","1.325,12","11,18","5,58229","28,95846","372,64","127.046,80","-6.693.728,00","11,35115","8,982939","15,449","83.415.609,00","0,16"
Q4-2018,"912,7","1.190,22","11,27","5,51618","30,55538","396,88","130.434,90","-24.074.957,00","12,50615","-7,41173","-0,92191","93.339.594,00","0,12"
Q1-2019,"937,84","1.260,06","11,2","5,3595","24,04923","399,86","138.869,80","-37.338.179,00","13,90956","4,943888","-9,91375","105.800.305,00","0,13"
Q2-2019,"964,85","1.252,28","11,39","5,87237","26,33769","412,26","135.123,00","-37.633.050,00","13,93954","1,221821","11,28883","115.873.149,00","0,10"
Q3-2019,"1.050,33","1.474,91","11,71","5,67218","20,50769","423,04","143.191,70","-6.810.290,00","14,38592","-0,00432","12,36587","127.082.696,00","0,10"
Q4-2019,"1.144,25","2.099,32","12,15","5,78528","14,42692","437,78","144.858,40","-43.122.854,00","13,6063","4,800867","3,88766","148.018.912,00","0,16"
Q1-2020,"896,44","1.826,68","12,88","6,09385","11,67615","448,35","127.037,80","-33.928.554,00","12,96311","7,935171","-11,0514","151.746.562,00","0,03"
Q2-2020,"1.165,25","2.879,70","13,62","6,85292","10,13385","460,3","126.314,80","-74.686.076,00","13,8978","13,46078","-3,04265","148.525.220,00","-0,02"
Q3-2020,"1.145,24","3.885,20","15,05","7,20775","12,24462","472,79","118.358,20","-29.652.966,00","13,53113","8,460983","36,44895","149.867.352,00","0,01"
Q4-2020,"1.476,72","4.717,69","15,95","7,86163","16,97538","496,92","128.024,80","-37.478.265,00","13,14818","1,856571","7,72828","149.633.720,00","0,00"
Q1-2021,"1.391,73","5.493,83","16,93","7,3774","20,11231","518,26","132.342,80","15.814.121,00","12,91818","3,915307","-8,44212","149.274.140,00","0,00"
Q2-2021,"1.356,34","4.639,84","18,3","8,36956","21,35538","538,95","141.697,00","-46.394.030,00","12,71321","4,518867","14,18141","148.243.856,00","-0,01"
Q3-2021,"1.406,39","4.954,27","20,06","8,52786","21,22769","563,87","164.205,40","-27.676.139,00","11,95697","3,062326","21,2792","148.561.229,00","0,00"
Q4-2021,"1.857,65","5.837,33","23,8","11,16102","20,475","625,37","156.686,40","-138.596.838,00","11,33472","21,55005","20,57767","159.470.245,00","0,07"
Q1-2022,"2.233,30","6.152,64","32,55","13,92713","22,1175","802,27","152.092,80","23.988.724,00","11,10488","11,58358","8,07047","164.034.199,00","0,03"
Q2-2022,"2.405,36","6.987,97","44,51","15,78376","23,01462","938,15","143.472,20","73.367.545,00","10,93079","16,4393","35,911","160.169.817,00","-0,02"
Q3-2022,"3.179,99","9.396,24","56,26","17,92024","24,81143","1.021,19","153.001,40","-134.703.064,00","10,30182","7,114755","24,77516","159.888.393,00","0,00"
Q4-2022,"5.509,16","16.577,48","64,38","18,598","16,47538","1.109,24","166.411,70","-99.841.759,00","10,40953","10,87218","12,19341","161.245.868,00","0,01"
Q1-2023,"4.812,93","14.238,03","78,99","18,85272","14,64923","1.238,19","161.171,80","-277.577.209,00","10,00232","12,70886","-2,22534","157.984.823,00","-0,02"
Q2-2023,"5.759,11","16.294,45","91,44","20,64971","15,24846","1.317,41","152.378,00","-218.899.529,00","9,994557","16,48538","18,85759","167.264.721,00","0,06"
Q3-2023,"8.334,94","29.440,60","109,01","26,77421","33,29077","1.595,06","161.403,10","-24.786.479,00","9,43648","7,2526","39,26571","167.322.162,00","0,00"
Q4-2023,"7.470,18","25.771,83","120,56","28,45953","51,28154","1.805,00","180.575,70","-865.046.811,00","8,936106","9,077428","9,90549","189.979.192,00","0,14"
Q1-2024,"9.142,40","33.151,43","129,02","30,86397","56,01154","2.065,79","162.071,50","-625.880.207,00","8,890045","10,95736","3,87848","196.107.008,00","0,03"
Q2-2024,"10.647,91","35.054,93","136,88","32,29699","64,85692","2.269,55","185.242,60","-103.723.083,00","8,998158","7,60273","12,05133","214.635.544,00","0,09"
Q3-2024,"9.665,78","32.797,60","145,28","33,44544","60,70154","2.457,87","193.556,10","-369.550.324,00","8,949807","8,007118","19,81935","259.513.434,00","0,21"
Q4-2024,"9.724,50","35.268,32","153,23","34,42241","59,88","2.628,07","199.216,80","-221.806.108,00",,"5,234859",,"285.504.830,00","0,10"
